Institution,Latitude,Longitude,City,Country,Address,Description,Grantees Hosted,Years Active,Example Project Titles
Graz University of Technology (TU Graz),47.0694191,15.4503768,Graz,AT,"Rechbauerstrasse 12, 8010 Graz, Austria","Graz University of Technology (TU Graz) is located in Graz, Austria. It has hosted 1 Whitaker International fellow (2014). Whitaker fellows here have worked on cardiovascular engineering and auditory & hearing research.",1,2014,Mechanical Properties of the Myocardium in the Ischemic Heart
Ludwig Boltzmann Institute for Experimental and Clinical Traumatology,48.2365855,16.3838461,Vienna,AT,"Donaueschingenstrasse 13, 1200 Vienna, Austria","Ludwig Boltzmann Institute for Experimental and Clinical Traumatology is located in Vienna, Austria. It has hosted 1 Whitaker International fellow (2013). Whitaker fellows here have worked across orthopedics & biomechanics, biomedical imaging, and computational modeling & systems biology.",1,2013,In Vitro Model of Long Bone Fracture Repair
Medical University of Vienna,48.2196447,16.3475329,Vienna,AT,"Spitalgasse 23, 1090 Vienna, Austria","Medical University of Vienna is located in Vienna, Austria. It has hosted 1 Whitaker International fellow (2011). Whitaker fellows here have worked on biomedical imaging.",1,2011,Gold Nanorods for Contrast Enhancement in Multimodal Optical Coherence and Photoacoustic Tomography
TU Wien (Vienna University of Technology),48.1989781,16.3699152,Vienna,AT,"Karlsplatz 13, 1040 Vienna, Austria","TU Wien (Vienna University of Technology) is located in Vienna, Austria. It has hosted 1 Whitaker International fellow (2016). Whitaker fellows here have worked across orthopedics & biomechanics, biomedical imaging, and computational modeling & systems biology.",1,2016,Development of Clinical Bone Fracture Criteria Using Medical Image-Based Computational Mechanics
University of Graz,47.0776328,15.4495241,Graz,AT,"Universitaetsplatz 3, 8010 Graz, Austria","University of Graz is located in Graz, Austria. It has hosted 1 Whitaker International fellow (2012). Fellows have been hosted within the Clinical Institute of Medical and Chemical Laboratory Diagnostics. Whitaker fellows here have worked on biomedical imaging and drug delivery & nanomedicine.",1,2012,Nanoparticle Atherosclerotic Imaging: A Novel Approach Moving Towards Improved Diagnosis
Bionics Institute (formerly Bionic Ear Institute),-37.8076983,144.975057,Melbourne,AU,"St Vincent's Hospital, 41 Victoria Parade, Fitzroy VIC 3065, Australia","Bionics Institute (formerly Bionic Ear Institute) is located in Melbourne, Australia. It has hosted 1 Whitaker International fellow (2011).",1,2011,
Brien Holden Vision Institute,-33.9197315,151.2300652,Sydney,AU,"Rupert Myers Bldg, UNSW, Kensington NSW 2033, Australia","Brien Holden Vision Institute is located in Sydney, Australia. It has hosted 1 Whitaker International fellow (2012). Whitaker fellows here have worked on biomedical imaging.",1,2012,Quantitative Evaluation of the Ocular Shape for the Improvement of Soft Contact Lens Design and Fit
Centre for Eye Research Australia / Bionic Vision Australia,-37.8090468,144.9788287,Melbourne,AU,"Level 10/200 Victoria Parade, East Melbourne VIC 3002, Australia","Centre for Eye Research Australia / Bionic Vision Australia is located in Melbourne, Australia. It has hosted 1 Whitaker International fellow (2011). Fellows have been hosted within the Bionic Vision Australia.",1,2011,
Flinders University,-35.0253003,138.5699562,Adelaide,AU,"Sturt Rd, Bedford Park SA 5042, Australia","Flinders University is located in Adelaide, Australia. It has hosted 3 Whitaker International fellows between 2013 and 2016. Whitaker fellows here have worked on biomedical imaging.",3,2013–2016,Effect of nucleotomy on multiaxial internal strains in the human intervertebral disc | Effects of lumbar disc degeneration on multidirectional mechanical properties and injury risk | Identifying Repetitive Motions that Place Lumbar Discs at Greatest Risk of Injury
Garvan Institute of Medical Research,-33.8791267,151.2214505,Sydney,AU,"384 Victoria St, Darlinghurst NSW 2010, Australia","Garvan Institute of Medical Research is located in Sydney, Australia. It has hosted 2 Whitaker International fellows between 2009 and 2012. Whitaker fellows here have worked on computational modeling & systems biology and biomedical imaging.",2,2009–2012,Design of a computational model of insulin-activated mTORC1 activity | Modeling the Transition to Insulin Resistance: Phospho-dynamics of the Insulin Signaling Pathway
Griffith University,-27.962973,153.3800267,Gold Coast,AU,"1 Parklands Dr, Southport QLD 4215, Australia","Griffith University is located in Gold Coast, Australia. It has hosted 1 Whitaker International fellow (2014). Whitaker fellows here have worked on medical devices & implants and auditory & hearing research.",1,2014,Optimization of a Spiral Groove Bearing to Lower Hemolysis Levels in Rotary Blood Pumps
Monash University,-37.9112284,145.1367498,Melbourne,AU,"Wellington Rd, Clayton VIC 3800, Australia","Monash University is located in Melbourne, Australia. It has hosted 2 Whitaker International fellows (all in 2017). Whitaker fellows here have worked on tissue engineering & regenerative medicine and orthopedics & biomechanics.",2,2017,Engineering Immunomodulatory Hydrogels to Promote Bone Regeneration | Engineering a second-generation IL-1 receptor antagonist for wound repair and bone regeneration.
Monash University / Alfred Hospital,-37.8457479,144.9818979,Melbourne,AU,"55 Commercial Rd, Melbourne VIC 3004, Australia","Monash University / Alfred Hospital is located in Melbourne, Australia. It has hosted 1 Whitaker International fellow (2011). Whitaker fellows here have worked on cancer & tumor biology and biomedical imaging.",1,2011,Developing Irreversible Electroporation for Human Patient Cancer Therapy
Neuroscience Research Australia (NeuRA),-33.9208606,151.2380364,Sydney,AU,"139 Barker St, Randwick NSW 2031, Australia","Neuroscience Research Australia (NeuRA) is located in Sydney, Australia. It has hosted 1 Whitaker International fellow (2015). Whitaker fellows here have worked on computational modeling & systems biology and biomedical imaging.",1,2015,Truly Subject-Specific Models: Integrating MR Elastography with Computational Modeling
Queensland University of Technology (QUT),-27.4778241,153.0274859,Brisbane,AU,"2 George St, Brisbane City QLD 4000, Australia","A research-active Australian university in Brisbane with a strong focus on medical robotics, tissue engineering, and biomechanics. It has hosted 4 Whitaker International fellows between 2006 and 2013. Whitaker fellows here have worked on tissue engineering & regenerative medicine and orthopedics & biomechanics.",4,2006–2013,Custom Engineered 3D-Printed Osteochondral Interface Scaffolds for Attachment to Cartilage Grafts | Technological Advancement of Cartilage Tissue Engineering
University of Melbourne,-37.7983459,144.960974,Melbourne,AU,"Parkville VIC 3010, Australia","University of Melbourne is located in Melbourne, Australia. It has hosted 2 Whitaker International fellows between 2010 and 2013. Whitaker fellows here have worked across orthopedics & biomechanics, biomedical imaging, and tissue engineering & regenerative medicine.",2,2010–2013,Studying Cellular Activity of Porous Interpenetrating Hydrogels through Super-Resolution Microscopy | Understanding the Effects of Knee Joint Loading on the Development of Osteoarthritis
University of New England,-30.4899535,151.6410199,Armidale,AU,"Armidale NSW 2350, Australia","University of New England is located in Armidale, Australia. It has hosted 1 Whitaker International fellow (2011).",1,2011,
University of New South Wales (UNSW),-33.917347,151.2312675,Sydney,AU,"Sydney NSW 2033, Australia","A leading Australian research university in Sydney with broad biomedical engineering activity, hosting Whitaker fellows in neural engineering, sensory neuroscience, and biomaterials. It has hosted 7 Whitaker International fellows between 2008 and 2017. Fellows have been hosted within the Laboratory of Dr. Richard Vickery. Whitaker fellows here have worked across neural engineering & neuroscience, tissue engineering & regenerative medicine, biomedical imaging, and medical devices & implants.",7,2008–2017,Developement and Evaluation of a Liquid Jet-Stream Corneal Esthesiometer | Development and Optimization of Soft Contact lenses for Corneal Reshaping | Improving the functional lifetime of stored platelets
University of Queensland,-27.4976696,153.0128661,Brisbane,AU,"St Lucia QLD 4072, Australia","A research-intensive Australian university in Brisbane with strong bioengineering, neuroscience, and molecular bioscience programs (notably the Institute for Molecular Bioscience). It has hosted 5 Whitaker International fellows between 2008 and 2017. Fellows have been hosted within the Institute for Molecular Bioscience. Whitaker fellows here have worked across cardiovascular engineering, tissue engineering & regenerative medicine, biomedical imaging, and biosensors & microfluidics.",5,2008–2017,Disease modeling of cardiomyocyte response to ischemia-induced acidosis | Engineering bioactive surfaces for stem cell self-renewal and maintenance | Photocontrolled viscoelastic hydrogels for controlling mechanically driven stem cell differentiation
University of Sydney,-33.8884041,151.1867648,Sydney,AU,"Camperdown NSW 2050, Australia","University of Sydney is located in Sydney, Australia. It has hosted 1 Whitaker International fellow (2010). Whitaker fellows here have worked on cardiovascular engineering and medical devices & implants.",1,2010,Enhancing Biocompatibility of Metal Endovascular Stents Using Surface Coating Technology
University of Western Australia,-31.9789061,115.8180721,Perth,AU,"35 Stirling Hwy, Crawley WA 6009, Australia","University of Western Australia is located in Perth, Australia. It has hosted 1 Whitaker International fellow (2012). Whitaker fellows here have worked on orthopedics & biomechanics and computational modeling & systems biology.",1,2012,"Combining Motion Capture, Modeling and Statistics to Identify Casual Relationships in Biomechanics"
Walter and Eliza Hall Institute of Medical Research,-37.79806,144.956038,Melbourne,AU,"1G Royal Parade, Parkville VIC 3050, Australia","Walter and Eliza Hall Institute of Medical Research is located in Melbourne, Australia. It has hosted 1 Whitaker International fellow (2017). Fellows have been hosted within the Walter and Eliza Hall Institute. Whitaker fellows here have worked on cancer & tumor biology.",1,2017,Development of a novel pyropotic compound for anti-tumor therapy
"icddr,b (International Centre for Diarrhoeal Disease Research)",23.7762341,90.3998372,Dhaka,BD,"Shaheed Tajuddin Ahmed Ave, Dhaka 1213, Bangladesh","icddr,b (International Centre for Diarrhoeal Disease Research) is located in Dhaka, Bangladesh. It has hosted 1 Whitaker International fellow (2012). Whitaker fellows here have worked across biomedical imaging, orthopedics & biomechanics, global & resource-limited health, and microbiology & infectious disease.",1,2012,Cost-effective portable microchip platform utilizing CD4+ enumeration in HIV-infected patients
KU Leuven,50.8780971,4.6997053,Leuven,BE,"Oude Markt 13, 3000 Leuven, Belgium","KU Leuven is located in Leuven, Belgium. It has hosted 2 Whitaker International fellows between 2010 and 2015. Whitaker fellows here have worked across orthopedics & biomechanics, rehabilitation & assistive technology, and computational modeling & systems biology.",2,2010–2015,A Multiscale Musculoskeletal Modeling Analysis of Cartilage Loading During Rehabilitation Exercises | Developmental Engineering of Tissue Intermediates
University of Sao Paulo (USP),-23.5613991,-46.7307891,Sao Paulo,BR,"Cidade Universitaria, Sao Paulo, Brazil","University of Sao Paulo (USP) is located in Sao Paulo, Brazil. It has hosted 1 Whitaker International fellow (2012). Whitaker fellows here have worked on biomedical imaging and computational modeling & systems biology.",1,2012,Interference and Improved Electrode-Skin Modeling in Electrical Impedence Tomography
AO Research Institute Davos,46.7771602,9.813121,Davos,CH,"Clavadelerstrasse 8, 7270 Davos Platz, Switzerland","AO Research Institute Davos is located in Davos, Switzerland. It has hosted 2 Whitaker International fellows between 2014 and 2015. Whitaker fellows here have worked across orthopedics & biomechanics, biomedical imaging, medical devices & implants, and computational modeling & systems biology.",2,2014–2015,In Vivo Assessment of Intervertebral Disc Repair of an Ovine Model of Annular Defect | Optimization of Cement-Reinforced Implant Fixation in Osteoporotic Proximal Humerus Fractures
ETH Zurich,47.3763889,8.547628,Zurich,CH,"Raemistrasse 101, 8092 Zurich, Switzerland","Switzerland's German-speaking sister to EPFL and a global powerhouse in engineering, with the Institute for Biomechanics widely recognized for orthopedic, cardiovascular, and musculoskeletal modeling research. It has hosted 21 Whitaker International fellows between 2007 and 2017. Fellows have been hosted within the Institute for Biomechanics. Whitaker fellows here have worked across cancer & tumor biology, tissue engineering & regenerative medicine, biomedical imaging, and biosensors & microfluidics.",21,2007–2017,3D Bioprinting of Skeletal Tissue | A Systems Immunology Approach for Engineering Protein Immunogenicity | Cell-based mechanical feedback loop for in silico bone remodeling
Ecole Polytechnique Federale de Lausanne (EPFL),46.5205086,6.5701089,Lausanne,CH,"Route Cantonale, 1015 Lausanne, Switzerland","Switzerland's federal institute of technology in French-speaking Lausanne, home to a world-leading bioengineering school whose neuroprosthetics, microfluidics, and brain-machine interface programs draw international visitors year-round. It has hosted 33 Whitaker International fellows between 2006 and 2017. Whitaker fellows here have worked across neural engineering & neuroscience, tissue engineering & regenerative medicine, medical devices & implants, and computational modeling & systems biology.",33,2006–2017,A Reduction-Sensitive Polymersome Delivery System for Breast Cancer Immunotherapy | CAR-like cell integration in a murine model of hematopoietic stem cell recruitment | Characterization and optimization of implantable microfluidic glaucoma drainage device
Friedrich Miescher Institute for Biomedical Research,47.5758668,7.5783463,Basel,CH,"Fabrikstrasse 24, 4056 Basel, Switzerland","Friedrich Miescher Institute for Biomedical Research is located in Basel, Switzerland. It has hosted 1 Whitaker International fellow (2008). Whitaker fellows here have worked on neural engineering & neuroscience.",1,2008,Patterned optical stimulation of neuronal circuits using digital light processing (DLP) technology
